subject,task,attend_condition,structure,dprime
1,S/D,pitch,random,0.9792495819935556
2,S/D,pitch,random,0.3150618498620001
3,S/D,pitch,random,0.5290677582123
4,S/D,pitch,random,0.4188992834036033
5,S/D,pitch,random,0.24376245090062398
6,S/D,pitch,random,0.44388882708402255
7,S/D,pitch,random,-1.1102230246251565e-16
8,S/D,pitch,random,2.162391695417703
9,S/D,pitch,random,-0.21400590835029987
10,S/D,pitch,random,0.22029890504753274
11,S/D,pitch,random,-0.21400590835029987
12,S/D,pitch,random,-0.22029890504753288
13,S/D,pitch,random,0.31863936396437514
14,S/D,pitch,random,0.7196220810805501
15,S/D,pitch,random,-0.43072729929545756
16,S/D,pitch,random,-0.2104283942479247
17,S/D,pitch,random,0.43072729929545744
18,S/D,pitch,random,-2.7755575615628914e-16
19,S/D,pitch,random,0.3150618498620001
1,S/D,syllable,random,2.1952119286005507
2,S/D,syllable,random,2.533343507476646
3,S/D,syllable,random,1.2549828359900832
4,S/D,syllable,random,1.1503493803760079
5,S/D,syllable,random,3.1871835120773957
6,S/D,syllable,random,0.4438888270840227
7,S/D,syllable,random,0.7589506769460229
8,S/D,syllable,random,2.882013776498253
9,S/D,syllable,random,2.2801866788203435
10,S/D,syllable,random,0.8627881104876255
11,S/D,syllable,random,3.1871835120773957
12,S/D,syllable,random,1.931516409798736
13,S/D,syllable,random,0.8122178014999129
14,S/D,syllable,random,2.765988254201276
15,S/D,syllable,random,-0.5353607549095332
16,S/D,syllable,random,2.882013776498253
17,S/D,syllable,random,2.1952119286005507
18,S/D,syllable,random,1.8137214263960955
19,S/D,syllable,random,1.931516409798736
