Sequence_Names,Switch_Names,Stim_Ind,Percent_Correctness
"A#4_Bb4, C4, F4, C#4_Db4","A#4_Bb4, C4, C#4_Db4, F4",2.0,0.95
"A#4_Bb4, D4, B4, G#4_Ab4","A#4_Bb4, D4, G#4_Ab4, B4",2.0,0.95
"B4, D4, G#4_Ab4, D5","B4, D4, D5, G#4_Ab4",2.0,0.975
"C#5_Db5, C4, F#4_Gb4, B4","C#5_Db5, C4, B4, F#4_Gb4",2.0,0.975
"C#5_Db5, C5, F#4_Gb4, B4","C#5_Db5, F#4_Gb4, C5, B4",1.0,0.775
"C#5_Db5, D#4_Eb4, F4, A#4_Bb4","D#4_Eb4, C#5_Db5, F4, A#4_Bb4",0.0,0.9
"C4, F#4_Gb4, G4, G#4_Ab4","C4, F#4_Gb4, G#4_Ab4, G4",2.0,0.95
"C4, G4, F4, C#5_Db5","C4, F4, G4, C#5_Db5",1.0,0.65
"C5, G#4_Ab4, A4, C4","G#4_Ab4, C5, A4, C4",0.0,0.95
"D#4_Eb4, C5, E4, C#4_Db4","C5, D#4_Eb4, E4, C#4_Db4",0.0,0.875
"D#5_Eb5, F4, A4, A#4_Bb4","D#5_Eb5, A4, F4, A#4_Bb4",1.0,0.6
"D4, F#4_Gb4, F4, C#5_Db5","F#4_Gb4, D4, F4, C#5_Db5",0.0,0.8
"D5, A#4_Bb4, C4, C5","D5, C4, A#4_Bb4, C5",1.0,0.625
"D5, F#4_Gb4, G4, E4","D5, G4, F#4_Gb4, E4",1.0,0.75
"E4, D4, D5, A#4_Bb4","D4, E4, D5, A#4_Bb4",0.0,0.55
"E4, G#4_Ab4, A#4_Bb4, F4","E4, G#4_Ab4, F4, A#4_Bb4",2.0,0.975
"G#4_Ab4, F#4_Gb4, D4, A4","F#4_Gb4, G#4_Ab4, D4, A4",0.0,0.775
"G4, A4, A#4_Bb4, C5","G4, A#4_Bb4, A4, C5",1.0,0.825
